iter	Passed	Remaining
1561	24467	2944
1562	24482	2929
1563	24499	2913
1564	24516	2898
1565	24531	2882
1566	24546	2866
1567	24561	2850
1568	24575	2835
1569	24590	2819
1570	24604	2803
1571	24620	2787
1572	24634	2772
1573	24648	2756
1574	24663	2740
1575	24681	2724
1576	24698	2709
1577	24713	2693
1578	24729	2678
1579	24743	2662
1580	24757	2646
1581	24772	2630
1582	24787	2614
1583	24801	2599
1584	24816	2583
1585	24831	2567
1586	24846	2551
1587	24862	2536
1588	24879	2520
1589	24894	2505
1590	24908	2489
1591	24923	2473
1592	24938	2457
1593	24952	2442
1594	24968	2426
1595	24982	2410
1596	24996	2394
1597	25010	2378
1598	25024	2363
1599	25039	2347
1600	25057	2332
1601	25075	2316
1602	25090	2300
1603	25105	2285
1604	25121	2269
1605	25137	2253
1606	25152	2238
1607	25167	2222
1608	25182	2206
1609	25196	2191
1610	25213	2175
1611	25232	2160
1612	25247	2144
1613	25261	2128
1614	25276	2112
1615	25291	2097
1616	25306	2081
1617	25321	2065
1618	25337	2050
1619	25353	2034
1620	25368	2018
1621	25388	2003
1622	25411	1988
1623	25426	1972
1624	25441	1957
1625	25456	1941
1626	25471	1925
1627	25485	1909
1628	25499	1894
1629	25514	1878
1630	25528	1862
1631	25542	1846
1632	25555	1831
1633	25572	1815
1634	25589	1799
1635	25605	1784
1636	25621	1768
1637	25636	1752
1638	25665	1738
1639	25682	1722
1640	25696	1706
1641	25711	1691
1642	25726	1675
1643	25741	1659
1644	25756	1644
1645	25776	1628
1646	25792	1613
1647	25818	1598
1648	25833	1582
1649	25849	1566
1650	25899	1553
1651	25939	1538
1652	25962	1523
1653	25983	1508
1654	26000	1492
1655	26018	1476
1656	26037	1461
1657	26053	1445
1658	26068	1429
1659	26082	1414
1660	26097	1398
1661	26115	1382
1662	26133	1367
1663	26152	1351
1664	26168	1335
1665	26184	1320
1666	26199	1304
